Fiscal Year,Release Year,Release date,Product Category,Product,Configuration,Generation,Series,Model,Storage,Carbon Footprint
2015,2014,"September 19, 2014",iPhone,iPhone 6,,,6,Regular,128,95
2016,2015,"September 25, 2015",iPhone,iPhone 6s,,,6,Regular,32,54
2016,2015,"September 25, 2015",iPhone,iPhone 6s,,,6,Regular,128,61
2016,2015,"September 25, 2015",iPhone,iPhone 6s Plus,,,6,Plus,32,63
2016,2015,"September 25, 2015",iPhone,iPhone 6s Plus,,,6,Plus,128,70
2016,2016,"March 21, 2016",iPhone,iPhone SE,,1,SE,SE,32,45
2016,2016,"March 21, 2016",iPhone,iPhone SE,,1,SE,SE,128,53
2017,2016,"September 7, 2016",iPhone,iPhone 7,,,7,Regular,32,56
2017,2016,"September 7, 2016",iPhone,iPhone 7,,,7,Regular,128,63
2017,2016,"September 7, 2016",iPhone,iPhone 7 Plus,,,7,Plus,32,67
2017,2016,"September 7, 2016",iPhone,iPhone 7 Plus,,,7,Plus,128,74
2018,2017,"September 12, 2017",iPhone,iPhone 8,,,8,Regular,64,57
2018,2017,"September 12, 2017",iPhone,iPhone 8,,,8,Regular,256,71
2018,2017,"September 12, 2017",iPhone,iPhone 8 Plus,,,8,Plus,64,68
2018,2017,"September 12, 2017",iPhone,iPhone 8 Plus,,,8,Plus,256,82
2018,2017,"September 12, 2017",iPhone,iPhone X,,,X,Regular,64,79
2018,2017,"September 12, 2017",iPhone,iPhone X,,,X,Regular,256,93
2019,2018,"September 12, 2018",iPhone,iPhone XR,,,X,Regular,64,62
2019,2018,"September 12, 2018",iPhone,iPhone XR,,,X,Regular,128,67
2019,2018,"September 12, 2018",iPhone,iPhone XR,,,X,Regular,256,76
2019,2018,"September 12, 2018",iPhone,iPhone XS,,,X,Regular,64,70
2019,2018,"September 12, 2018",iPhone,iPhone XS,,,X,Regular,256,85
2019,2018,"September 12, 2018",iPhone,iPhone XS,,,X,Regular,512,99
2019,2018,"September 12, 2018",iPhone,iPhone XS Max,,,X,Max,64,77
2019,2018,"September 12, 2018",iPhone,iPhone XS Max,,,X,Max,256,91
2019,2018,"September 12, 2018",iPhone,iPhone XS Max,,,X,Max,512,106
2020,2019,"September 10, 2019",iPhone,iPhone 11,,,11,Regular,64,72
2020,2019,"September 10, 2019",iPhone,iPhone 11,,,11,Regular,128,77
2020,2019,"September 10, 2019",iPhone,iPhone 11,,,11,Regular,256,89
2020,2019,"September 10, 2019",iPhone,iPhone 11 Pro,,,11,Pro,64,80
